State,Latitude,Longitude,Rainfall,Soil_Moisture,Slope,Elevation,Temperature,Risk
Nagaland,25.715678,94.293391,155.9,0.337,35.9,423.5,31.6,Moderate
Nagaland,25.740121,93.567657,23.4,0.084,32.0,871.6,25.3,Low
Sikkim,27.755469,88.048899,151.6,0.377,43.3,1714.4,18.0,Moderate
Nagaland,26.622426,93.935174,94.1,0.171,26.9,1684.8,16.8,Moderate
Manipur,23.800256,93.920032,79.1,0.313,41.0,1708.1,16.6,Low
Meghalaya,25.056222,90.628509,135.1,0.302,9.9,1056.6,20.9,Low
Sikkim,27.848372,88.056421,178.0,0.347,47.0,2097.9,18.0,Moderate
Meghalaya,26.007206,89.81146,90.2,0.216,19.3,932.9,25.6,Low
Tripura,23.294918,91.963175,54.9,0.148,2.0,264.4,27.2,Low
Arunachal Pradesh,27.44881,92.060408,34.9,0.288,40.8,1769.3,17.6,Low
Manipur,24.484444,93.486708,143.7,0.479,38.9,2023.3,15.6,Moderate
Mizoram,24.091051,92.607352,246.4,0.472,63.7,1988.5,22.0,High
Manipur,25.298972,94.60537,25.4,0.2,43.5,2652.4,16.3,Moderate
Sikkim,27.520581,88.818949,201.2,0.432,26.8,999.6,23.3,Moderate
Mizoram,22.881027,93.453302,49.8,0.194,15.1,1155.7,23.3,Low
Arunachal Pradesh,26.767869,95.278606,128.7,0.159,65.5,2396.3,12.5,Moderate
Sikkim,27.592577,88.348884,118.2,0.234,23.0,50.0,33.9,Low
Assam,26.65739,94.1343,126.5,0.158,47.4,2302.3,18.2,Moderate
Meghalaya,25.005236,90.300859,177.5,0.463,29.9,1057.0,22.6,Moderate
Arunachal Pradesh,28.639138,95.16512,142.4,0.293,23.5,1343.3,23.9,Low
Meghalaya,26.159257,92.083113,60.1,0.222,54.8,2459.8,13.8,Low
Nagaland,27.006468,94.705081,119.1,0.211,47.8,1492.3,12.4,Moderate
Assam,25.251819,90.363799,274.3,0.567,75.0,3301.2,10.7,High
Assam,27.28366,93.75814,176.7,0.442,29.1,1287.9,22.2,Moderate
Arunachal Pradesh,26.644558,93.480278,48.9,0.232,27.5,1270.6,20.7,Low
Assam,28.018559,92.852527,70.2,0.219,19.4,1248.0,17.9,Low
Mizoram,23.025096,92.795009,58.9,0.249,44.4,2056.7,16.6,Moderate
Assam,24.877307,92.022855,57.3,0.34,33.3,1099.4,24.3,Low
Meghalaya,25.443776,89.957065,286.6,0.552,15.5,890.9,25.9,Moderate
Meghalaya,25.921081,91.049513,39.3,0.05,26.5,1045.4,23.9,Low
Sikkim,27.986616,88.765313,181.0,0.512,6.9,461.6,25.4,Low
Meghalaya,25.254393,91.77206,283.3,0.418,40.0,2641.1,16.8,High
Sikkim,27.566738,88.792141,62.2,0.07,48.6,1673.0,17.3,Low
Meghalaya,25.258889,91.83344,249.5,0.415,30.8,1862.4,17.5,Moderate
Mizoram,23.480156,92.583892,104.9,0.115,23.9,605.0,24.0,Low
Tripura,23.118561,91.847132,67.5,0.227,40.7,1773.4,18.4,Moderate
Sikkim,27.886317,88.284065,29.1,0.221,2.0,98.6,28.1,Low
Manipur,25.025182,93.711236,188.3,0.432,5.0,50.0,29.7,Low
Nagaland,26.555093,93.698431,149.0,0.271,18.5,604.0,26.4,Low
Arunachal Pradesh,29.170645,93.080753,103.8,0.294,47.8,2039.6,17.3,Moderate
Meghalaya,25.441343,89.974276,37.1,0.185,42.6,1929.8,15.1,Low
Assam,24.468351,92.94993,109.9,0.315,46.6,2448.5,14.9,Moderate
Tripura,23.328148,92.086124,23.7,0.05,38.5,911.8,26.7,Low
Meghalaya,25.017632,90.937282,205.3,0.5,28.3,750.6,26.9,Moderate
Assam,25.416851,89.821764,0.9,0.05,40.8,2091.1,18.7,Moderate
Nagaland,25.4363,94.127285,40.2,0.105,33.1,979.0,23.9,Low
Nagaland,26.136443,94.108579,129.9,0.447,27.9,1391.9,23.2,Moderate
Nagaland,26.208782,94.490263,327.7,0.515,58.0,2106.8,19.8,High
Assam,24.04168,92.6238,83.5,0.302,40.2,1313.1,23.3,Low
Meghalaya,26.156199,91.357097,238.9,0.371,18.3,1500.0,19.0,Moderate
Nagaland,26.48733,93.923728,98.6,0.253,13.8,50.0,29.7,Low
Mizoram,23.912378,93.204798,107.9,0.106,2.0,491.2,28.5,Low
Sikkim,27.625555,88.878412,32.8,0.05,26.3,1443.2,19.5,Low
Assam,24.527311,89.80677,319.9,0.261,56.7,2219.6,19.5,Moderate
Assam,27.234664,94.78508,178.3,0.556,23.4,1147.4,22.5,Low
Meghalaya,25.144249,90.596748,88.2,0.383,9.7,689.3,26.9,Low
Assam,24.07372,91.547844,124.1,0.423,32.3,628.9,28.2,Moderate
Assam,27.247196,92.963151,159.2,0.338,45.0,2130.1,18.5,Moderate
Nagaland,25.861382,94.043479,118.0,0.221,53.0,2334.3,18.4,Moderate
Meghalaya,25.001624,90.699402,47.5,0.181,44.1,1915.9,17.2,Low
Nagaland,26.428272,95.248389,197.4,0.314,67.3,2663.8,15.2,Moderate
Sikkim,28.016473,88.021235,119.0,0.25,36.9,1084.5,20.7,Low
Tripura,24.337697,92.018158,137.6,0.27,49.3,1581.0,24.2,Moderate
Sikkim,27.936451,88.412196,18.8,0.05,26.5,866.2,20.0,Low
Tripura,23.536808,91.39379,69.2,0.076,28.8,1271.6,27.1,Low
Nagaland,25.32482,93.756471,103.4,0.063,20.3,1389.1,24.9,Low
Sikkim,27.295924,88.435669,122.1,0.269,21.2,1285.1,20.6,Low
Meghalaya,25.896933,91.221429,205.3,0.385,53.3,2414.0,9.6,High
Arunachal Pradesh,26.673533,96.767844,143.2,0.155,43.8,1589.3,19.8,Moderate
Nagaland,26.991176,94.870379,12.3,0.27,26.4,301.4,25.5,Low
Tripura,24.486125,91.707827,112.0,0.365,13.4,766.6,29.4,Moderate
Mizoram,24.403198,92.298287,115.5,0.236,28.8,1938.1,15.4,Moderate
Tripura,23.485089,91.292996,145.0,0.179,30.7,1059.6,25.8,Low
Mizoram,22.409166,92.383044,137.9,0.159,42.1,2103.0,16.1,Moderate
Assam,26.614137,94.622328,136.9,0.395,25.4,670.1,26.4,Low
Sikkim,27.693958,88.132266,122.2,0.365,25.9,1667.3,18.7,Moderate
Mizoram,24.008922,93.026741,16.1,0.116,32.0,1226.9,22.2,Low
Tripura,23.521065,91.876369,120.0,0.19,74.8,3500.0,8.8,Moderate
Assam,25.091601,91.874711,45.0,0.133,21.1,761.0,26.0,Low
Arunachal Pradesh,29.252458,93.097775,122.4,0.29,56.3,2482.2,13.3,Moderate
Meghalaya,25.563986,92.470423,57.8,0.28,62.3,2762.9,11.3,Moderate
Meghalaya,25.849266,89.98661,46.5,0.15,35.3,2645.7,17.1,Low
Meghalaya,25.176764,89.823525,57.2,0.34,30.5,1652.6,19.2,Low
Mizoram,23.540397,92.781975,194.2,0.347,14.5,698.1,26.7,Low
Arunachal Pradesh,26.902825,96.768638,55.7,0.126,30.5,1346.8,23.0,Low
Mizoram,23.277115,92.514461,105.5,0.219,25.8,1924.6,19.0,Low
Sikkim,27.600724,88.611658,155.0,0.552,47.4,1399.6,21.1,Moderate
Mizoram,22.098222,92.557115,250.5,0.35,34.3,1271.2,18.7,Moderate
Arunachal Pradesh,28.920896,94.028157,74.0,0.18,45.1,2597.8,9.6,Moderate
Arunachal Pradesh,28.139731,93.880488,113.4,0.28,55.8,2176.5,15.3,Moderate
Sikkim,27.05268,88.149175,96.0,0.342,16.6,591.7,22.5,Low
Arunachal Pradesh,27.836625,92.65052,101.1,0.19,37.4,1454.3,17.7,Low
Tripura,22.979966,92.096745,165.0,0.378,46.5,1170.1,24.5,Moderate
Arunachal Pradesh,29.443578,95.862286,77.5,0.234,42.6,1420.7,19.2,Low
Meghalaya,26.024542,90.525931,166.8,0.275,32.1,2392.0,14.4,Moderate
Tripura,24.437003,91.256003,141.3,0.262,16.0,1052.0,23.1,Moderate
Tripura,24.422288,92.293265,183.9,0.463,43.6,1833.0,19.4,Moderate
Sikkim,27.854067,88.883029,66.9,0.133,49.8,1337.8,16.8,Moderate
Manipur,24.882126,93.467175,89.0,0.282,27.6,1102.4,22.0,Moderate
Manipur,24.630292,94.06841,176.3,0.495,35.1,718.8,21.7,Moderate
Arunachal Pradesh,26.719245,94.922888,110.9,0.05,60.4,2458.3,10.9,Moderate
Tripura,24.469885,91.24714,165.1,0.356,37.2,892.9,25.1,Moderate
Manipur,25.305931,94.634218,65.8,0.223,27.5,1063.2,26.5,Low
Manipur,25.593033,94.728244,330.5,0.622,55.8,2770.5,10.3,High
Arunachal Pradesh,28.064379,96.875193,143.0,0.14,32.7,1579.7,20.6,Low
Manipur,25.238889,93.291009,93.3,0.157,17.9,452.7,26.0,Low
Mizoram,23.13994,93.133831,141.1,0.247,16.6,453.1,25.2,Low
Assam,25.038829,93.735876,121.9,0.502,68.2,2175.0,15.6,Moderate
Sikkim,27.799921,88.14643,103.7,0.272,6.5,318.1,23.6,Low
Assam,26.373358,94.56125,140.7,0.252,28.3,1444.8,20.5,Moderate
Arunachal Pradesh,27.996687,91.566567,102.5,0.093,7.3,1057.8,24.5,Low
Meghalaya,25.010846,90.871088,94.3,0.112,29.6,1353.7,19.8,Moderate
Sikkim,28.111433,88.205809,103.3,0.359,14.4,922.1,24.9,Moderate
Arunachal Pradesh,28.403091,92.721417,166.5,0.253,30.8,1589.3,20.4,Low
Tripura,23.414672,92.102455,19.1,0.38,44.7,1962.1,17.2,Moderate
Meghalaya,25.874634,90.086198,34.9,0.137,30.3,2076.2,13.6,Low
Assam,25.800548,89.88377,358.9,0.667,26.2,115.4,25.7,Moderate
Arunachal Pradesh,27.94267,95.143387,165.1,0.425,48.1,2204.5,12.8,Moderate
Tripura,23.089604,91.37555,247.3,0.403,21.5,1186.0,23.7,Low
Sikkim,27.477404,88.827578,143.5,0.471,9.5,359.6,27.4,Low
Sikkim,28.191906,88.04042,96.0,0.155,28.2,1432.3,21.3,Low
Nagaland,26.645915,94.043448,57.1,0.264,17.5,1081.4,26.3,Low
Tripura,23.527933,91.980544,91.3,0.146,51.5,2157.2,16.3,Moderate
Mizoram,24.287909,93.436207,85.8,0.305,35.2,1585.4,19.1,Low
Manipur,24.896533,93.642818,68.2,0.05,28.1,576.5,29.0,Low
Meghalaya,25.945059,90.553004,70.5,0.105,11.4,50.0,27.2,Low
Tripura,23.802518,91.466152,255.2,0.361,8.2,361.9,23.0,Low
Nagaland,26.447599,93.780798,24.8,0.213,7.0,143.9,29.1,Low
Manipur,24.164027,94.65283,15.7,0.146,54.6,2774.6,15.3,Moderate
Manipur,23.993427,93.910724,97.6,0.22,32.8,1528.4,20.2,Moderate
Arunachal Pradesh,27.162558,91.714115,127.9,0.289,28.1,1322.1,23.1,Moderate
Manipur,23.868436,93.315399,95.4,0.257,22.3,50.0,31.7,Low
Mizoram,24.153603,92.567222,227.2,0.646,19.5,380.9,21.8,Moderate
Sikkim,28.140551,88.52346,69.1,0.18,30.6,1313.2,23.6,Low
Nagaland,26.029567,94.460178,98.2,0.189,44.9,1439.5,26.4,Low
Manipur,24.781727,94.365797,193.4,0.275,39.0,1503.4,20.4,Moderate
Arunachal Pradesh,27.347488,93.441777,79.5,0.403,16.4,936.2,23.6,Low
Mizoram,24.224645,93.430393,55.2,0.304,40.7,1451.6,18.5,Low
Assam,27.748745,92.342522,47.1,0.05,33.9,1292.2,26.7,Low
Sikkim,27.936439,88.428702,162.9,0.326,44.0,1726.5,21.0,Moderate
Sikkim,27.597048,88.184212,66.1,0.119,34.6,1603.0,23.0,Low
Nagaland,26.323148,93.672272,118.1,0.376,18.3,506.7,22.3,Low
Sikkim,27.397878,88.769527,120.4,0.179,2.0,639.5,23.7,Low
Manipur,24.193444,93.128085,39.4,0.341,21.5,1161.3,20.2,Low
Arunachal Pradesh,26.707023,96.674315,157.1,0.456,46.4,1874.9,15.6,Moderate
Sikkim,27.608305,88.368471,274.4,0.669,14.3,783.1,24.9,Moderate
Sikkim,27.973054,88.752243,69.7,0.353,18.9,1020.1,20.8,Low
Assam,25.395202,94.069794,147.0,0.361,2.0,561.9,29.9,Low
Assam,27.238716,93.824299,51.1,0.116,41.4,1222.0,23.9,Low
Meghalaya,25.181914,92.427649,31.3,0.146,21.2,783.4,26.2,Low
Mizoram,23.301646,92.567214,298.4,0.652,31.6,1857.4,21.1,Moderate
Manipur,24.607934,93.067628,14.3,0.05,41.1,1900.7,19.8,Low
Sikkim,27.15344,88.688992,30.5,0.243,2.0,50.0,31.1,Low
Tripura,22.900019,91.541536,170.9,0.266,42.1,2150.2,13.6,Moderate
Sikkim,27.627012,88.049171,165.9,0.2,19.1,549.1,25.9,Low
Arunachal Pradesh,29.419234,92.743689,61.1,0.245,19.8,564.1,23.5,Low
Meghalaya,25.365038,90.711828,176.3,0.472,47.2,1624.9,20.1,Moderate
Mizoram,22.499083,92.201916,63.4,0.157,57.6,1846.1,19.2,Moderate
Tripura,24.066952,92.256899,49.4,0.157,46.5,2420.2,11.6,Moderate
Meghalaya,25.269152,91.789142,231.8,0.468,14.6,390.0,23.3,Low
Nagaland,26.609603,94.996851,95.0,0.411,2.2,511.6,24.9,Low
Mizoram,22.998836,92.59381,96.9,0.17,37.8,1121.5,24.9,Low
Sikkim,27.390354,88.641359,239.1,0.466,31.0,1241.2,20.3,Moderate
Sikkim,27.980135,88.163453,32.0,0.161,42.4,973.2,21.4,Low
Mizoram,22.864447,93.372522,69.2,0.126,43.0,1982.5,17.8,Moderate
Sikkim,27.968032,88.886373,135.3,0.221,48.2,1257.6,21.8,Moderate
Manipur,25.233072,93.707751,155.6,0.334,60.5,1716.8,19.3,Moderate
Mizoram,23.435658,93.059319,72.0,0.206,42.7,1566.6,22.5,Moderate
Meghalaya,25.094147,91.433491,106.7,0.126,19.7,1483.4,19.7,Low
Mizoram,23.744234,92.417518,155.8,0.296,35.7,1544.9,16.3,Moderate
Tripura,24.149011,91.758905,84.5,0.061,60.8,1577.1,21.8,Low
Sikkim,28.142666,88.03818,185.9,0.293,2.0,50.0,29.0,Low
Manipur,24.30412,94.082797,42.0,0.05,21.5,1217.7,26.0,Low
Manipur,24.363464,94.285963,95.4,0.14,26.3,1135.3,26.3,Low
Nagaland,26.64211,93.505032,113.5,0.153,34.6,1962.2,18.5,Low
Meghalaya,25.616625,91.326672,159.3,0.313,23.0,1051.0,24.1,Moderate
Assam,25.550979,95.577427,234.1,0.296,22.1,893.7,22.9,Moderate
Assam,27.475527,94.092419,212.9,0.597,32.2,1480.6,18.4,Moderate
Mizoram,23.757249,92.800231,114.3,0.409,15.8,463.7,23.3,Low
Nagaland,26.94989,94.689191,54.9,0.246,8.5,484.4,27.5,Low
Arunachal Pradesh,28.686943,96.2393,106.4,0.288,9.0,50.0,31.9,Low
Mizoram,22.612586,93.249192,102.2,0.325,33.0,1488.0,22.4,Low
Nagaland,25.570957,93.990684,244.6,0.413,40.5,1848.6,25.0,Moderate
Meghalaya,25.402733,92.735576,51.7,0.111,35.2,668.2,25.9,Low
Meghalaya,26.027845,91.90351,89.1,0.309,37.6,1961.0,13.6,Moderate
Meghalaya,25.872468,91.486218,157.9,0.288,66.0,2750.4,16.7,Moderate
Meghalaya,26.136509,91.288776,310.9,0.495,26.4,1361.6,23.2,Moderate
Meghalaya,25.456621,90.289106,159.1,0.278,21.0,1300.4,19.2,Moderate
Nagaland,26.693791,94.768888,242.8,0.438,60.1,2112.6,14.5,Moderate
Nagaland,25.930275,93.350387,51.8,0.146,19.0,1396.4,22.5,Low
Manipur,25.394095,93.020552,255.1,0.435,11.3,843.3,24.0,Low
Tripura,24.02592,92.261334,128.0,0.301,17.9,803.0,27.0,Low
Assam,25.838178,91.180332,47.2,0.139,51.6,2046.8,14.2,Moderate
Sikkim,27.845845,88.735415,92.5,0.105,8.9,434.5,25.5,Low
Meghalaya,25.655716,92.701106,164.7,0.204,46.8,2228.8,19.5,Moderate
Arunachal Pradesh,26.655006,94.276376,152.0,0.342,31.9,1930.4,18.4,Moderate
Sikkim,27.862145,88.776376,266.4,0.465,44.7,1616.4,20.2,Moderate
Nagaland,25.540586,94.900007,47.1,0.12,19.0,942.9,24.7,Low
Arunachal Pradesh,28.158121,93.681045,107.2,0.405,24.8,836.3,25.6,Moderate
Arunachal Pradesh,26.895145,96.259127,138.8,0.382,24.2,1519.2,20.1,Moderate
Arunachal Pradesh,26.97182,93.203833,68.1,0.191,49.6,1517.7,22.5,Moderate
Manipur,24.351087,94.568545,108.9,0.204,25.4,1292.3,18.1,Moderate
Nagaland,26.478136,94.893363,19.4,0.05,47.4,1389.0,22.6,Low
Arunachal Pradesh,27.251404,94.936808,42.2,0.138,27.6,1494.0,26.3,Low
Meghalaya,25.686095,92.298491,187.5,0.541,21.7,1224.8,21.2,Moderate
Mizoram,24.255826,92.215804,180.5,0.453,28.5,822.7,26.3,Moderate
Arunachal Pradesh,28.52206,91.785097,215.1,0.38,54.3,2827.6,13.5,Moderate
Manipur,24.842831,93.517739,86.6,0.429,11.6,725.7,26.7,Low
Sikkim,27.368132,88.317663,163.0,0.497,31.5,1379.2,22.7,Moderate
Nagaland,26.380456,93.9681,79.2,0.289,38.2,2287.7,15.3,Moderate
Tripura,24.072318,91.525886,33.4,0.125,20.6,956.5,19.9,Low
Manipur,23.929871,94.410768,97.4,0.514,14.9,904.2,19.8,Low
Arunachal Pradesh,27.357275,93.880218,67.7,0.364,32.8,671.1,25.8,Low
Nagaland,26.502343,93.964912,65.0,0.409,59.3,2654.5,15.0,Moderate
Mizoram,22.047123,92.686097,62.2,0.176,41.6,1246.0,24.1,Low
Arunachal Pradesh,29.333346,95.029539,86.2,0.321,35.4,1726.6,21.0,Moderate
Manipur,25.07581,94.138108,58.7,0.064,37.0,1664.6,17.9,Low
Assam,24.835767,92.335503,142.5,0.261,48.3,2278.8,14.7,Moderate
Meghalaya,25.901128,90.104119,23.4,0.176,22.1,1642.6,18.3,Low
Tripura,23.344564,91.359215,143.1,0.477,50.0,1698.6,17.4,Moderate
Sikkim,27.518423,88.882332,303.7,0.667,45.3,1399.3,26.0,High
Manipur,23.928255,93.933662,34.1,0.29,25.7,947.3,23.5,Low
Nagaland,25.540793,95.241353,45.1,0.05,39.7,1213.4,22.2,Low
Tripura,23.081286,91.524681,118.4,0.341,8.0,957.3,28.0,Low
Tripura,24.080616,91.915921,300.3,0.548,20.4,837.2,21.9,Moderate
Tripura,23.576366,91.450481,256.9,0.386,23.1,835.0,28.5,Moderate
Arunachal Pradesh,27.692837,92.953519,204.9,0.38,15.3,118.5,35.0,Low
Meghalaya,25.2464,91.249119,63.9,0.174,53.8,2023.1,14.2,Moderate
Arunachal Pradesh,27.305601,93.081039,162.6,0.329,50.5,2210.0,18.4,Moderate
Nagaland,26.447837,95.237075,140.1,0.325,62.2,1979.3,17.9,Moderate
Arunachal Pradesh,28.310912,91.923387,78.9,0.116,62.3,2429.0,15.1,Moderate
Assam,24.317451,95.693966,102.9,0.168,14.4,1060.1,25.2,Low
Meghalaya,25.356749,90.076201,76.9,0.239,42.2,1154.8,21.8,Low
Meghalaya,25.718854,91.670946,91.1,0.31,2.3,128.9,29.1,Low
Nagaland,26.432159,93.834804,427.0,0.777,32.0,1237.0,24.1,High
Sikkim,27.018133,88.868514,80.9,0.395,33.5,2355.1,16.5,Moderate
Assam,25.053751,93.958966,71.5,0.168,37.1,2129.1,18.3,Moderate
Manipur,25.142597,94.098013,46.6,0.05,43.1,1682.7,21.6,Low
Arunachal Pradesh,27.438722,92.991029,51.8,0.207,11.0,1029.0,21.3,Low
Mizoram,23.453938,93.325924,204.7,0.181,12.1,716.6,26.5,Low
Arunachal Pradesh,29.340201,92.082482,146.1,0.214,46.1,3031.8,11.5,Moderate
Tripura,23.147726,92.228157,59.8,0.142,41.8,1286.5,25.8,Low
Arunachal Pradesh,28.709606,96.356466,158.0,0.422,53.1,2468.9,16.1,Moderate
Manipur,24.185002,94.057655,79.8,0.095,26.8,565.6,26.4,Low
Arunachal Pradesh,28.603419,95.240615,84.6,0.174,26.9,1239.5,24.0,Low
Assam,25.714237,89.796988,132.4,0.255,45.7,1592.5,21.2,Low
Assam,26.448289,91.29454,63.2,0.408,25.0,1385.4,23.9,Low
Meghalaya,25.540305,92.672743,51.3,0.197,3.2,901.0,26.5,Low
Nagaland,25.958167,94.979603,26.7,0.157,2.0,50.0,29.3,Low
Sikkim,27.226249,88.605214,96.2,0.352,15.6,753.9,26.8,Low
Mizoram,24.440218,92.332461,90.3,0.168,31.6,2283.9,18.0,Low
Tripura,22.913312,91.563658,133.6,0.43,68.1,2676.5,13.4,High
Arunachal Pradesh,26.777876,95.616114,85.9,0.05,33.6,1643.7,16.2,Low
Arunachal Pradesh,29.243646,93.887115,72.7,0.327,17.3,495.2,27.8,Low
Manipur,24.291552,93.781926,39.6,0.05,55.8,1905.4,18.6,Moderate
Nagaland,26.574551,93.318108,80.9,0.247,16.0,613.5,25.4,Low
Assam,26.475707,93.563738,119.6,0.372,19.5,701.2,29.1,Moderate
Mizoram,23.557989,92.514629,42.8,0.153,23.4,679.3,26.3,Low
Meghalaya,25.856863,90.074174,51.7,0.267,27.1,1148.6,21.7,Moderate
Assam,24.836935,95.228061,55.2,0.109,37.5,1328.3,17.0,Low
Tripura,24.081957,91.017869,184.2,0.404,41.8,801.8,25.5,Moderate
Nagaland,25.671915,93.728813,112.8,0.177,49.6,2098.6,20.8,Moderate
Tripura,23.33329,91.321828,90.5,0.251,2.4,50.0,29.2,Low
Sikkim,27.075032,88.413046,23.8,0.167,31.1,1479.7,19.0,Low
Meghalaya,25.87928,91.620195,69.0,0.279,11.7,1114.9,22.6,Low
Sikkim,27.807446,88.073034,30.9,0.05,9.6,649.5,21.6,Low
Manipur,25.607832,94.509285,313.6,0.417,50.0,2389.5,15.6,High
Tripura,24.188145,92.069879,23.2,0.168,57.4,2533.9,15.5,Moderate
Manipur,25.57215,93.979657,132.8,0.372,40.4,1567.1,22.6,Moderate
Arunachal Pradesh,27.100846,94.89231,159.2,0.463,39.1,1000.1,27.3,Low
Sikkim,27.891458,88.664126,297.4,0.618,45.0,1438.5,21.1,Moderate
Nagaland,26.190753,93.436917,68.6,0.207,28.6,1434.8,19.4,Low
Tripura,23.493781,92.196997,77.0,0.103,29.1,1079.1,22.5,Low
Mizoram,23.419567,92.899832,76.4,0.116,13.0,585.1,24.6,Low
Meghalaya,25.322624,90.905347,119.4,0.261,19.5,1106.3,24.2,Low
Assam,27.760454,93.898717,138.3,0.37,24.0,1593.1,20.6,Moderate
Nagaland,26.696035,94.208691,89.5,0.109,13.1,50.0,29.4,Low
Nagaland,26.39747,93.796767,191.9,0.411,18.5,364.3,26.9,Moderate
Manipur,25.140376,93.769682,159.3,0.303,37.3,1776.1,21.3,Moderate
Sikkim,27.531055,88.58439,67.7,0.162,10.3,349.2,31.9,Low
Tripura,24.398049,91.083208,195.9,0.392,29.3,1372.0,23.3,Moderate
Tripura,24.219589,91.380098,81.8,0.156,46.0,1815.6,18.6,Moderate
Arunachal Pradesh,27.831758,91.620523,70.8,0.188,16.3,591.8,25.3,Low
Arunachal Pradesh,27.403138,94.264472,20.3,0.208,18.3,50.0,30.8,Low
Meghalaya,25.067411,91.273287,119.9,0.238,2.0,615.4,26.1,Low
Manipur,25.56151,93.189708,149.5,0.337,20.4,697.3,25.7,Low
Nagaland,26.652437,94.119342,67.7,0.225,34.2,1319.5,20.7,Low
Tripura,23.948278,91.338308,43.7,0.226,36.5,1787.1,22.7,Low
Mizoram,22.31468,92.408601,51.6,0.072,45.8,1921.2,18.3,Low
Manipur,23.933935,93.334164,112.6,0.232,67.7,3500.0,9.8,Moderate
Meghalaya,25.797063,92.445072,59.2,0.163,14.7,1808.8,17.9,Low
